match_id,team_won,cluster,game_mode,game_type,hero_1,hero_2,hero_3,hero_4,hero_5,hero_6,hero_7,hero_8,hero_9,hero_10
5283290177.0,-1,227,3,7,93,2,26,83,6,7,21,67,25,62
5283290176.0,1,135,22,0,23,104,18,90,14,129,61,112,93,30
5283290175.0,1,133,22,7,84,2,26,72,50,64,83,23,68,89
5283290174.0,1,187,22,0,22,7,53,41,68,45,114,94,102,14
5283290173.0,-1,152,4,0,11,80,9,34,47,29,53,41,75,98
5283290172.0,1,236,3,7,93,105,84,94,57,51,40,13,37,44
5283290171.0,-1,184,22,7,101,10,5,93,2,72,99,37,108,14
5283290170.0,1,188,22,0,30,101,8,28,99,70,4,44,6,47
5283290169.0,1,227,22,7,12,22,38,77,92,74,112,57,21,93
5283290168.0,-1,227,22,0,59,126,58,1,26,101,14,29,28,6
5283290164.0,-1,185,22,0,9,91,106,5,69,14,7,35,25,2
5283290143.0,-1,227,18,0,68,99,111,17,13,39,43,70,57,76
5283290142.0,-1,155,22,7,1,74,75,18,21,44,71,63,128,28
5283290141.0,-1,223,22,7,101,11,104,94,13,86,84,99,44,45
5283290140.0,1,155,23,0,14,39,102,62,36,47,19,81,105,35
5283290139.0,-1,227,22,7,11,35,4,119,31,84,97,17,44,74
5283290136.0,1,191,22,7,93,59,28,27,88,102,86,12,106,128
5283290135.0,-1,152,22,0,109,26,104,8,17,50,7,47,1,114
5283290134.0,-1,154,22,7,74,46,99,121,54,88,20,26,70,79
5283290133.0,-1,231,22,7,36,106,35,2,44,48,29,68,108,49
5283290113.0,1,144,23,0,100,120,1,17,5,29,2,8,48,126
5283290112.0,-1,184,22,7,4,84,35,70,27,8,78,26,21,83
5283290109.0,1,236,3,7,39,128,51,25,15,29,30,11,40,14
5283290108.0,-1,183,22,7,93,25,7,39,112,84,114,70,14,87
5283290105.0,1,144,22,7,88,41,64,97,110,84,81,103,104,14
5283290104.0,1,152,23,0,120,99,18,26,74,14,35,8,86,9
5283290103.0,-1,184,22,7,30,129,80,64,42,26,9,70,18,35
5283290102.0,1,151,23,0,4,84,19,17,67,9,83,93,41,86
5283290101.0,1,192,22,0,23,1,69,91,84,20,114,53,36,64
5283290100.0,-1,188,23,0,22,129,69,128,126,14,64,5,63,93
5283290099.0,-1,133,23,0,101,54,14,104,11,49,35,86,85,17
5283290098.0,-1,172,22,7,104,86,22,68,93,25,16,120,128,1
5283290097.0,-1,186,22,7,56,1,30,65,40,14,44,111,120,35
5283289777.0,-1,155,22,7,2,86,75,1,14,59,63,30,128,129
5283289776.0,1,131,22,7,14,10,35,128,51,119,95,76,30,108
